title,author_dates,author,author_viaf,author_viaf_id,edition,editor,publisher,pub_place,pub_date,series_title,series_id,source,work_id,prelemmatized,notes
Regule vel Alchorismi pars secunda,fl.ca.1150,Anonymus,,,transcription,"The Toledan regule (Liber Alchorismi, part II): a twelfth-century arithmetical miscellany (with Ji-Wei Zhao and Kurt Lampe), Burnett, Charles. (2010) - In: Burnett, Numerals and Arithmetic Pt. VIII p. 141-231",Ashgate,Farnham,2010,Auctores scientiarum varii,Anonym.ReAlPar,,17056,True,
Annales Fuldenses pars secunda,-865,Rudolfus Fuldensis,http://viaf.org/viaf/18014789,18014789,"critical edition, no apparatus","Kurze, Friedrich",Hahn,Hannover,1891,,RudFul.AnnFuld,,16666,True,
Liber sententiarum,,Augustinus Hipponensis; Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 40",AuHiAuV.LibSen,Patrologia Latina,7389,True,
Epigrammata,1474,"Pantagato, Flavio",,,"critical edition, apparatus not encoded","Caterina Malta, 2004",,,,Musisque Deoque 2007,PanFla.Epig,,20050,True,
Benedictionale,540-604,Gregorius I,http://viaf.org/viaf/100184667,100184667,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 78",GreI.Benedi2,Patrologia Latina,8088,True,['XML improved by Jan Ctibor in 2023']
Epistola I B. Petri,-1117,Anselmus Laudunensis et schola; Glossa ordinaria,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 114",WalStr.EpIBPe,Patrologia Latina,8980,True,
Epinomis,c.425BC–347BC,Plato,http://viaf.org/viaf/303814984,303814984,,,,,,,Plato.Epinomi,"Text was scanned at St. Olaf Spring, 1992, by Perseus.",21277,True,
Vita S. Isidori,,Auctor incertus (Lucas Tudensis?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 82",AuInLuT.ViSIs,Patrologia Latina,8176,True,
De institutione virginis,340-397,Ambrosius Mediolanensis,http://viaf.org/viaf/100227669,100227669,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 16",AmbMed.DeInVi,Patrologia Latina,21372,True,
Epistolae,1098–1179,Hildegardis Bingensis,http://viaf.org/viaf/87772061,87772061,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 197",Hildeg.Episto325,Patrologia Latina,11559,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De gestis episcoporum Antissiodorensium,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucInc.DeGeEpA,Patrologia Latina,9603,True,
Diplomata,1056-1075,Anno Coloniensis,http://viaf.org/viaf/18013040,18013040,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",AnnCol.Diplom18,Patrologia Latina,9984,True,
Officium corporis Christi Sapientia,1225-1274,Thomas Aquinas,http://viaf.org/viaf/264344179,264344179,"critical edition, apparatus not encoded","C.
	Lambot",Revue Bénédictine,Romae,1943,Corpus Thomisticum,ThomAqu.OffSapi,,12015,True,
Epitome Divinarum institutionum,250-325,Lactantius,http://viaf.org/viaf/100198064,100198064,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 6",Lactan.EpDiIn,Patrologia Latina,6814,True,
Quaestiones disputatae de virtutibus,1225-1274,Thomas Aquinas,http://viaf.org/viaf/264344179,264344179,"critical edition, apparatus not encoded",,Textum Taurini,Romae,1953,Corpus Thomisticum,ThomAqu.QDDeVir,,12024,True,
Vita S. Magnobodi,1035-1123,Marbodus Redonensis,http://viaf.org/viaf/241082057,241082057,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 171",MarRed.ViSMa17,Patrologia Latina,10966,True,
Disputatio puerorum,,Auctor incertus (Alcuinus?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 101",AuInAl.DisPue,Patrologia Latina,8714,True,
In librum Bartholomei Scardeonii,1533-1573,"Rapicio, Andrea",http://viaf.org/viaf/61204247,61204247,"critical edition, apparatus not encoded","Barbara Zlobec, 2002",,,,Musisque Deoque 2007,RapAnd.InBaSc,,20188,True,
Decretum,,Deusdedit papa,http://viaf.org/viaf/22494317,22494317,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 80",DeuPap.Decret9,Patrologia Latina,8137,True,
Dominica I post octavam Epiphaniae,1090-1153,Bernardus Claraevallensis,http://viaf.org/viaf/59875293,59875293,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 183",BerCla.DoIPoOc,Patrologia Latina,11212,True,
Fragmenta,335-414,Nicetas Aquileiensis,http://viaf.org/viaf/60401117,60401117,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 52",NicAqu.Fragme5,Patrologia Latina,7596,True,
Sermones,c.1042–1099,Urbanus II,http://viaf.org/viaf/152552697,152552697,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 151",UrbIi.Sermon28,Patrologia Latina,10465,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De fuga dignitatum ecclesiasticarum,1007-1072,Petrus Damianus,http://viaf.org/viaf/50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DeFuDiE,Patrologia Latina,10091,True,
Sermones de tempore,354-430,Augustinus Hipponensis,http://viaf.org/viaf/66806872,66806872,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 38",AugHip.SeDeTe,Patrologia Latina,7335,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Ratio embolismorum,,Manfredus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 90",Manfre.RatEmb,Patrologia Latina,8452,True,
Epistolae,1079–1142,Petrus Abaelardus,http://viaf.org/viaf/88995118,88995118,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 178",PetAba.Episto301,Patrologia Latina,11115,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De Verbo incarnato,-1173,Richardus S. Victoris,http://viaf.org/viaf/98148813,98148813,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 196",RiSVi.DeVeIn,Patrologia Latina,11531,True,
Cognomina nobilium qui Willelmum in Angliam secuti sunt,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 149",AucInc.CoNoQuW,Patrologia Latina,10281,True,
Epistolae,,Paulus I,http://viaf.org/viaf/35605,35605,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 89",PauI.Episto141,Patrologia Latina,8390,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Praefatio in suam collectionem de verbis seniorum,1028-1079,Joannes Fiscamnensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 147",JoaFis.PrInSuC,Patrologia Latina,10224,True,
Meditationes et orationes,1033-1109,Anselmus Cantuariensis,http://viaf.org/viaf/100187025,100187025,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 158",AnsCan.MeEtOr,Patrologia Latina,10626,True,
De picturis principum apostolorum,1007-1072,Petrus Damianus,http://viaf.org/viaf/50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DePiPrA,Patrologia Latina,10103,True,
De tumulis,1429-1503,"Pontano, Giovanni Gioviano",http://viaf.org/viaf/9919481,9919481,"critical edition, apparatus not encoded","B. Soldati, 1902",,,,Musisque Deoque 2007,PonGio.Detu,,19978,True,
De casibus virorum illustrium,1313-1375,Giovanni Boccaccio,http://viaf.org/viaf/64002165,64002165,,,Biblioteca Italiana,Roma,2007,Collezione BibIt,,,13023,True,
Epistola Deidamiae ad Achillem,1510-1554,"Darcio, Giovanni",http://viaf.org/viaf/54577565,54577565,"critical edition, apparatus not encoded","Maria Teresa Imbriani, 1994",,,,Musisque Deoque 2007,DarGio.EpadAc,,20101,True,
"De montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus, et de diversis nominibus maris",1313-1375,Giovanni Boccaccio,http://viaf.org/viaf/64002165,64002165,,,Biblioteca Italiana,Roma,2007,Collezione BibIt,,,13037,True,
Dialogus philosophandumne sit,1490-1571,"Andronicus, Parthenius Tranquillus",http://viaf.org/viaf/22294763,22294763,"early modern edition, no apparatus",Neven Jovanović,,,"Siječnja
            2011.",,AndPar.DiPhSit,,13258,True,
Pontifex,1404-1472,Leon Battista Alberti,http://viaf.org/viaf/29559625,29559625,,,Biblioteca Italiana,Roma,2004,Collezione BibIt,,,13106,True,
Sic et non,1079–1142,Petrus Abaelardus,http://viaf.org/viaf/88995118,88995118,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 178",PetAba.SiEtNo,Patrologia Latina,11127,True,
Versus nuncupatorii,c.725-c.799,Paulus Vinfridus,http://viaf.org/viaf/40174477,40174477,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 95",PauVin.VerNun,Patrologia Latina,8537,True,
Epistolae et privilegia,,Stephanus VI,http://viaf.org/viaf/6920867,6920867,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 129",SteVi.EpEtPr2,Patrologia Latina,9318,True,
Remedia amoris,43BC-17,Ovidius Naso,http://viaf.org/viaf/88342447,88342447,"eclectic edition, apparatus not encoded",R. Ehwald,B. G. Teubner,Leipzig,1907,,OviNas.RemAmo,,12759,True,
Aliquot quaestiones,,Auctor incertus (Beda?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 93",AuInBe.AliQua,Patrologia Latina,8475,True,
Operum omnium tomus II,1729-1799,"Skerletz, Nicolaus",,,"early modern edition, no apparatus",Neven Jovanović,,,Kolovoz 2008,,SkeNic.OpOmTo2,,13388,True,
Sermo in obitu praedecessoris sui Cisterciensis,,Stephanus III Cisterciensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 166",StIiCi.SeInObP,Patrologia Latina,10869,True,
Ars sive Regulae,c.1050,Pseudo-Palaemon,,,"based on critical edition, no apparatus, online edition",Source with summary and bibliography,digilibLT,Vercelli,2016,,Palaem.Ars2,,14304,True,
Epigrammata,1454-1494,"Poliziano, Angelo",http://viaf.org/viaf/9867884,9867884,"critical edition, apparatus not encoded","I. Del Lungo, 1867",,,,Musisque Deoque 2007,PolAng.Epig,,20055,True,
Epistola,c.482–565,Justinianus I Augustus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1848,"Patrologia Latina, vol. 69",JuIAu.Episto82,Patrologia Latina,7909,True,
Constitutio Francofurtana,912–973,Otto I,http://viaf.org/viaf/267323947,267323947,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",OttI.ConFra,Patrologia Latina,9733,True,
Annales,1030-1088,Bertholdus Constantiensis,http://viaf.org/viaf/69286192,69286192,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 147",BerCon.Annale5,Patrologia Latina,10201,True,
Liber de imaginibus sanctorum,769-840,Agobardus Lugdunensis,http://viaf.org/viaf/268487135,268487135,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 104",AgoLug.LiDeImS,Patrologia Latina,8792,True,
Epistola,fl.c.1350,Gabrio de Zamorei,,,"critical edition, apparatus not encoded","C. Farragiana, 1984",,,,Musisque Deoque 2007,Gabri.Epis,,20093,True,
Regula ad monachos,546-551,Aurelianus Arelatensis,http://viaf.org/viaf/84482165,84482165,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 68",AurAre.ReAdMo4,Patrologia Latina,7887,True,
De vita beati Martini,c.363–c.425,Sulpicius Severus,http://viaf.org/viaf/30332452,30332452,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 20",SulSev.DeViBeM,Patrologia Latina,7099,True,
Tractatus de memoria,1085-1164,Hugo Rothomagensis,http://viaf.org/viaf/19820278,19820278,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 192",HugRot.TrDeMe,Patrologia Latina,11464,True,
De regimine principum,c.1247-1316,Aegidius Columna Romanus,http://viaf.org/viaf/100187638,100187638,,Print edition by: Hieronymus Samaritanius Senensis,Bartholomaeus Zannettus,Roma,1607,,AegCol.DeRegPrinc,,15436,True,"['Genere: Trattatistica', 'Tipo: Fonti Letterarie', 'Note: Parole: 159530\r\n\t\t\t\t\tCaratteri (spazi esclusi): 941396\r\n\t\t\t\tPM', 'Livello di codifica: 1']"
De capta urbe Constantinopolitana,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 213",AucInc.DeCaUrC,Patrologia Latina,11797,True,
Tractatus,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 96",AucInc.Tracta5,Patrologia Latina,8566,True,
Commonitorium,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 96",AucInc.Common3,Patrologia Latina,8559,True,
Epigrammaton libri,1450-1527,"Sasso, Panfilo",http://viaf.org/viaf/17148957,17148957,"critical edition, apparatus not encoded","M. Dussin, tesi di laurea Università degli Studi di Padova, 1987-88",,,,Musisque Deoque 2007,SasPan.Epli,,20081,True,
Liber Johannis de Ravenna de primo eius introitu ad aulam,1343-1408,"Giovanni, da Ravenna",http://viaf.org/viaf/71412514,71412514,,,Biblioteca Italiana,Roma,2005,Collezione BibIt,,,13091,True,
Musica theorica,,Auctor incertus (Beda?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 90",AuInBe.MusThe,Patrologia Latina,8431,True,
Chronica,-1456,Albertus Monachus,http://viaf.org/viaf/68169738,68169738,"critical edition, no apparatus","Sprandel, Rolf",Monumenta Germaniae Historica,München,1994,,AlbMon.Chron,,16700,True,
Concio ad milites Christianos,fl. 1080,Godefridus Bullonius,http://viaf.org/viaf/13555210,13555210,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 155",GodBul.CoAdMiC,Patrologia Latina,10533,True,
Epistola I,fl. 584,Licinianus Carthaginensis,http://viaf.org/viaf/37716196,37716196,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 72",LicCar.EpiI3,Patrologia Latina,7971,True,
Acta conventus in villa Colonia,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucVar.AcCoInV,Patrologia Latina,9673,True,
De panibus,c.1115-1183,Petrus Cellensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 202",PetCel.DePan,Patrologia Latina,11621,True,
Epistola V,,Paulus Constantinopolitanus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 87",PauCon.EpiV,Patrologia Latina,8297,True,
Eridanus,1429-1503,"Pontano, Giovanni Gioviano",http://viaf.org/viaf/9919481,9919481,"critical edition, apparatus not encoded","B. Soldati, 1902",,,,Musisque Deoque 2007,PonGio.Erid,,20137,True,
Regula monachorum sive Regula orientalis,500-585,Vigilius diaconus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 50",VigDia.ReMoSiR,Patrologia Latina,7560,True,
Expositio epistolae ad Philemonem,-827,Claudius Taurinensis,http://viaf.org/viaf/44348043,44348043,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 104",ClaTau.ExEpAdP,Patrologia Latina,8799,True,
Hexaemeron,-1158,Honorius Augustodunensis,http://viaf.org/viaf/100201145,100201145,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 172",HonAug.Hexaem3,Patrologia Latina,10991,True,
Itinerarium fratrum Grandimontensium,fl. 1157,Guillelmus Dandina,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 204",GuiDan.ItFrGr,Patrologia Latina,11661,True,
Liber Pergaminus,fl.c.1150,Moyses Bergamensis,http://viaf.org/viaf/258105539,258105539,,Print edition by: G. Gorni,,,1970,,MoyPer.LibPerg,,15568,True,"['Genere: Poesia epica', 'Tipo: Fonti Letterarie', 'Tipo:', 'Note: Parole: 2510\r\nCaratteri: 14317\r\n[?] indicano integrazioni congetturali dell?editore\r\nIl corsivo evidenzia prestiti da fonti classiche\r\nGM', 'Livello di codifica: 1']"
Canon episcopalis sive De institutione episcopi,1135-1212,Petrus Blesensis,http://viaf.org/viaf/24572572,24572572,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 207",PetBle.CaEpSiD,Patrologia Latina,11705,True,
Vita S. Abrahae,,Ephraem Edessensis; Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 73",EpEdAuI.ViSAb,Patrologia Latina,8014,True,
Vita Sigberti II,1030-1112,Sigebertus Gemblacensis,http://viaf.org/viaf/88029539,88029539,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 87",SigGem.ViSiIi,Patrologia Latina,8299,True,
De docta ignorantia c.1440,1401-1464,Nicolaus Cusanus,http://viaf.org/viaf/89623095,89623095,"critical edition, apparatus not encoded",Nicolai de Cusa Opera Omnia. Vol. I: De docta ignorantia. Ediderunt: E. Hoffmann/R. Klibansky. Novam editionem curavit Burkhard Mojsisch 2008. Bibliotheca Augustana,,Lipsiae,1932,Auctores scientiarum varii,NicCus.DeDoIgn,,12154,True,
Liber melorum,-1186,Herbertus de Boseham,http://viaf.org/viaf/227066592,227066592,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 190",HeDeBo.LibMel,Patrologia Latina,11447,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Critias,c.425BC–347BC,Plato,http://viaf.org/viaf/303814984,303814984,,,,,,,Plato.Critias,"Text was scanned at St. Olaf Spring, 1992, by Perseus.",21254,True,
Epistolae,,Vulgrinus Bituricensis,http://viaf.org/viaf/17960475,17960475,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 179",VulBit.Episto302,Patrologia Latina,11149,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14938,True,
Vita S. Pachomii,c.470–c.544,Auctor incertus; Dionysius Exiguus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 73",AuInDiE.ViSPa4,Patrologia Latina,7999,True,
